candidate	count	files
确定	40	15
以下	40	14
消除	40	13
返回	40	13
相同	40	12
函数	39	9
解决	39	17
特殊情况	39	10
结构	39	16
认为	38	18
明显	38	14
正确	38	16
内存	38	7
检查	38	12
字符	38	11
接口注释	38	6
部分	37	15
最终	37	16
发现	37	16
某些	37	15
记录	37	9
响应	37	7
约定	37	3
其中	36	14
几个	36	18
声明	36	9
想法	35	16
学生	35	9
大量	35	16
易理解	35	10
单独	35	12
例子	35	14
单个	35	15
表示	35	9
首先	34	15
原则	34	14
足够	34	16
意味着	34	16
开始	34	13
花费	34	13
即使	34	17
更加	34	14
形式	34	11
有关	33	16
假设	33	14
最佳	33	17
请参阅	33	4
为了	32	17
指定	32	10
该类	32	9
光标	32	3
技术	31	13
简化	31	14
内容	31	12
引入	31	15
当前	31	13
访问	31	8
撤消	31	2
编程	30	11
缺陷	30	11
帮助	30	13
整个	30	16
原始	30	8
常见	30	14
读取	30	9
良好	30	13
确保	30	12
关于	29	14
以便	29	15
从而	29	14
整体	29	14
字符串	29	9
投资	29	9
拆分	29	5
范围	29	12
上下文	29	3
软件系统	28	16
有用	28	14
目标	28	15
本章	28	16
状态	28	11
无需	28	12
透传	28	3
此外	27	14
包括	27	14
降低	27	16
实际上	27	14
随着	27	12
语言	27	12
重新	27	13
一旦	27	15
目的	27	7
修复	27	11
有时	27	16
签名	27	9
消息	27	8
崩溃	27	3
意义	27	10
组合	27	7
恢复	27	3
索引	27	3
管理	26	11
程序员	26	10
难以	26	11
而且	26	14
很多	26	16
代码缺陷	26	8
总是	26	15
主要	26	14
最后	26	11
来说	26	13
版本	25	11
设计模式	25	5
还是	25	11
数量	25	11
才能	25	11
知识	25	8
分配	25	5
相反	25	13
依赖关系	25	8
好处	25	13
信息隐藏	25	6
原因	24	13
决定	24	10
结果	24	16
速度	24	6
成本	24	10
含义	24	6
作为	24	13
清晰	24	12
哪些	24	10
所示	24	10
引用	24	11
认知负荷	24	8
允许	24	13
一起	24	6
任务	23	11
改进	23	9
提取	23	9
完全	23	12
第一个	23	9
决策	23	12
一致性	23	7
重构	23	7
公司	23	2
外部	23	7
信息泄露	23	7
实例	23	7
程序	22	10
表明	22	13
避免	22	14
说明	22	13
思考	22	14
正在	22	11
第二个	22	11
注意	22	13
元素	22	11
可见	22	8
分开	22	7
传递	22	8
底层	22	8
基本	21	12
软件开发	21	11
思想	21	13
查看	21	10
获得	21	13
不幸	21	14
一段	21	11
易于	21	13
同时	21	14
模糊性	21	6
尽可能	21	12
战术式编程	21	3
支持	21	10
缓冲	21	5
自动	21	12
网络	21	8
抛出	21	3
语句	21	7
价值	20	11
仍然	20	13
循环	20	6
编辑器	20	6
更新	20	9
不要	20	13
能够	20	12
两种	20	12
一样	20	13
增量	20	8
页面	20	3
给定	20	10
运行	20	9
直接	20	11
实体	20	8
磁盘	20	9
与其	20	10
数据包	20	6
异常处理	20	1
识别	19	13
很少	19	13
概念	19	11
反映	19	10
组件	19	2
规则	19	10
甚至	19	10
快速	19	10
不能	19	13
某个	19	11
战术	19	3
事物	19	10
文件系统	19	5
只有	19	11
丢失	19	5
配置参数	19	4
关键路径	19	1
相对	18	10
应用	18	12
经验	18	9
建议	18	11
所以	18	12
最大	18	11
使得	18	13
阶段	18	5
作用	18	7
为什么	18	9
详细	18	7
根据	18	13
采用	18	9
保持	18	12
非常	18	11
形式化	18	3
一部分	18	8
子类	18	5
程度	17	10
分解	17	10
类似	17	11
现在	17	11
基于	17	11
一点	17	11
团队	17	9
三个	17	9
构建	17	11
有效	17	11
诸如	17	9
适用	17	10
而言	17	8
空间	17	2
改善	17	12
带来	17	13
还有	17	11
之后	17	10
理想	17	9
整洁	17	11
写入	17	6
代表	17	9
解析	17	2
复制	17	9
单词	17	4
独立	16	8
课程	16	5
依赖性	16	8
一致	16	6
暴露	16	8
不仅	16	13
忽略	16	8
解决方案	16	11
发送	16	5
工程师	16	2
精确	16	8
用来	16	10
提交	16	4
要求	16	11
数据结构	16	6
生成	16	4
用途	16	8
放在	16	7
列表	16	4
细分	16	1
日志	16	2
单元测试	16	2
比如	15	11
介绍	15	11
工具	15	8
编码	15	7
确实	15	11
明确	15	10
组织	15	9
封装	15	8
立即	15	8
由于	15	10
需求	15	8
始终	15	7
做出	15	11
其余部分	15	8
清楚	15	5
似乎	15	8
轻松	15	9
网站	15	1
显示	15	10
一次	15	9
方面	15	10
协议	15	7
变量名	15	7
以至于	15	9
正常	15	6
起来	15	10
真正	15	9
命名	15	4
长度	15	6
替换	15	8
然而	15	11
区域选择	15	2
设备	15	4
装饰	15	1
捕获	15	4
涉及	14	8
大型	14	11
针对	14	7
学习	14	11
迭代	14	7
比较	14	6
操作系统	14	8
每种	14	10
东西	14	10
未来	14	9
特别	14	11
第二种	14	10
初始	14	6
每次	14	10
遇到	14	10
特性	14	8
颜色	14	1
不太可能	14	11
查找	14	6
思维	14	8
鼓励	14	7
时候	14	10
只是	14	7
经常	14	11
完整	14	8
关键	14	10
详细信息	14	6
打开	14	4
上面	14	9
重做	14	1
放置	14	5
检测	14	8
中止	14	2
核心	13	7
除了	13	8
存储系统	13	5
成功	13	7
有些	13	10
解释	13	5
不必	13	12
困难	13	7
出来	13	9
结束	13	8
一定	13	10
改变	13	8
得到	13	9
章节	13	9
看起来	13	7
对系统	13	7
拥有	13	10
释放	13	5
强调	13	3
如此	13	8
合理	13	7
也许	13	10
顺序	13	6
合并	13	6
属性	13	10
分离	13	4
更深	13	8
下沉	13	4
代码段	13	3
简短	13	7
开销	13	1
提出	12	10
之外	12	10
来自	12	10
继续	12	6
提高	12	10
有助于	12	8
实际	12	5
累积	12	8
因素	12	9
往往	12	10
之类	12	8
不必要	12	8
大部分	12	10
同一	12	8
本身	12	8
安全	12	8
延迟	12	6
相比	12	10
处理程序	12	4
多种	12	8
风格	12	6
私有	12	4
位于	12	6
字节	12	5
相似	12	5
进程	12	2
具体	12	9
副本	12	6
可能性	12	6
遵循	12	4
选取	12	3
能力	11	8
唯一	11	7
各种	11	6
其他人	11	8
这里	11	8
成为	11	9
来看	11	7
物理	11	4
限制	11	7
早期	11	7
几种	11	7
过于	11	8
采取	11	7
角度	11	8
有趣	11	7
变更	11	5
多少	11	9
未知的未知	11	4
糟糕	11	8
一行	11	6
返回值	11	5
公开	11	2
退格	11	3
失败	11	5
中心	10	5
另外	10	7
将来	10	7
保留	10	9
模糊	10	7
强大	10	7
称为	10	9
维护	10	6
替代	10	7
背景	10	2
基础	10	7
那些	10	9
精力	10	7
收益	10	6
总体	10	10
幸运	10	7
共享	10	5
只要	10	8
接收	10	5
围绕	10	5
检索	10	5
控制	10	7
变化	10	8
只能	10	7
集合	10	9
节点	10	3
视图	10	5
省略	10	5
构造	10	6
高效	10	5
不如	10	6
顶层	10	5
驱动程序	10	4
数组	10	4
模式	10	6
哈希	10	3
报告	10	3
异常处理程序	10	1
继承	10	2
实现注释	10	3
质量	9	5
技能	9	5
优秀	9	6
区分	9	6
通过定义来规避错误	9	5
关系	9	8
希望	9	5
流逝	9	5
不断	9	5
尽管	9	7
划分	9	5
本质	9	8
设计师	9	7
寻找	9	9
大小	9	6
各个	9	6
匹配	9	7
直到	9	7
同样	9	8
而是	9	8
很快	9	5
至少	9	6
视为	9	6
接受	9	8
节省	9	4
推迟	9	3
服务	9	4
否则	9	6
即可	9	7
其次	9	7
编程语言	9	5
通信	9	7
另一方面	9	8
较大	9	6
线程	9	4
泄露	9	2
传入	9	5
组成	9	6
计算	9	5
参数值	9	4
调整	9	5
试图	9	9
专用化	9	1
前面	9	7
满足	9	5
专门	9	4
建立	9	4
文本编辑器	9	5
撤销	9	3
那样	9	5
测量	9	2
损坏	9	3
一系列	8	7
敏捷开发	8	3
广泛	8	7
很大	8	6
超过	8	7
讲授	8	2
巨大	8	6
阐明	8	6
领域	8	7
搜索	8	6
术语	8	5
越来越	8	6
生命周期	8	4
不可避免	8	7
模块化设计	8	2
扩展	8	6
更具	8	6
方案	8	3
其它	8	6
展示	8	5
看看	8	7
当然	8	8
风险	8	6
全局变量	8	2
依赖	8	5
意识	8	5
不够	8	7
从未	8	7
猜测	8	5
造成	8	7
是因为	8	8
战略	8	3
告诉	8	4
尤其	8	7
清理	8	4
持续	8	6
准确	8	6
辅助	8	5
策略	8	4
无关	8	8
格式	8	3
时间顺序分解	8	1
条件	8	4
特殊	8	6
默认值	8	3
有人	8	5
任意	8	5
自然	8	6
面向行	8	3
面向字符	8	3
表达	8	4
重试	8	2
合适	8	7
一遍	8	4
命令	8	2
不再	8	4
异常屏蔽	8	1
旁边	8	3
主体	8	3
事件	8	1
实现继承	8	1
优化	8	1
可用	7	3
人们	7	6
面向对象	7	4
代码审查	7	5
线索	7	5
同意	7	5
代替	7	6
有点	7	5
约束	7	5
永远	7	5
演进	7	4
过去	7	4
努力	7	7
分为	7	6
极端	7	6
负责	7	7
解决问题	7	6
评估	7	5
符合	7	5
第一次	7	4
至关重要	7	5
找出	7	5
必要	7	5
观点	7	3
背景色	7	1
担心	7	6
框架	7	4
保存	7	6
引起	7	3
相应	7	6
单位	7	3
条目	7	3
战略式编程	7	2
尽快	7	4
所述	7	5
龙卷风	7	1
值得	7	7
战略式方法	7	1
以后	7	5
环境	7	6
生产	7	6
除非	7	4
公有	7	6
指示	7	5
全部	7	5
存储设备	7	3
何时	7	5
顶部	7	4
深模块	7	2
浅模块	7	3
直观	7	5
逻辑	7	5
用法	7	7
使用者	7	2
接字	7	6
终止	7	3
小组	7	4
过度	7	5
空格	7	2
尽量	7	5
窗口	7	2
缺少	7	5
期间	7	6
类别	7	3
少量	7	3
做到	7	6
包装	7	2
换行符	7	2
证书	7	1
所选区域	7	1
分布式	7	4
规避	7	3
异常聚合	7	1
设计两次	7	3
借口	7	2
不变量	7	3
容器	7	1
哲学	6	6
多年	6	3
相当	6	3
差异	6	6
表现	6	5
困惑	6	2
技巧	6	5
获取	6	6
后续	6	5
变成	6	6
人员	6	6
出色	6	5
取得	6	5
模型	6	2
一小部分	6	5
实施	6	6
重大	6	5
最小化	6	4
第一步	6	4
变更放大	6	3
横幅	6	1
此类	6	4
指向	6	6
几行	6	4
弄清楚	6	5
某种	6	6
依赖项	6	2
显著	6	5
积累	6	3
想要	6	6
战术式方法	6	1
有所	6	6
混乱	6	5
想到	6	5
一下	6	5
无论	6	6
收回	6	4
忘记	6	5
一件	6	5
协同工作	6	4
内核	6	3
垃圾	6	2
根本	6	5
链表	6	2
浅类	6	4
争辩	6	4
默认	6	4
研究	6	5
映射	6	3
整数	6	4
正常情况	6	4
设置	6	4
适当	6	5
最少	6	4
来源	6	3
指南	6	2
主意	6	4
分组	6	2
跟踪	6	5
是从	6	5
分发器	6	1
每行	6	4
中间	6	2
连接	6	2
路径	6	2
请问	6	5
距离	6	5
接下来	6	5
不得不	6	4
末尾	6	5
缺失	6	4
聪明	6	1
副作用	6	1
填充	6	1
传达	6	3
接口文档	6	3
名为	6	2
覆盖	5	3
面向对象编程	5	3
随后	5	4
感到	5	4
答案	5	4
从来	5	4
个人	5	3
图像界面	5	5
长远	5	3
此处	5	4
呈现	5	5
加入	5	4
更为重要	5	5
微妙	5	5
集中	5	4
瀑布	5	2
一组	5	5
不切实际	5	5
备选	5	2
平衡	5	5
判断	5	3
认识	5	5
非常复杂	5	4
取决于	5	4
三种	5	3
现代	5	5
假定	5	5
网页	5	3
依赖于	5	4
一步	5	4
分别	5	3
组成部分	5	5
编译器	5	4
编译	5	4
同一个	5	4
主题	5	4
肯定	5	4
区别	5	4
不可	5	4
显而易见	5	4
回报	5	3
文化	5	3
可靠	5	5
想象	5	3
紧密	5	5
出错	5	3
缓存	5	2
转换	5	3
深度	5	3
及其	5	4
传输	5	4
最近	5	4
根本性	5	2
多类症	5	1
序列化	5	2
禁用	5	3
设计者	5	3
目前	5	3
场景	5	5
文件格式	5	1
再次	5	5
浏览器	5	2
优先级	5	3
密切相关	5	5
关注	5	3
倾向	5	4
防止	5	3
来回	5	2
每当	5	4
移动	5	3
高速缓存	5	4
职责	5	1
各自	5	4
问问	5	4
真的	5	5
数据中心	5	3
网络通信	5	4
全局	5	1
不用	5	5
缺点	5	4
弥补	5	4
反复	5	3
布尔值	5	2
总体而言	5	5
故障	5	1
屏蔽	5	1
客户端	5	2
第三种	5	3
适合	5	4
感觉	5	4
意图	5	2
直觉	5	2
状态值	5	1
利用	5	5
通用名称	5	2
事件驱动	5	1
套件	5	1
论文	4	3
标准	4	4
计算机科学	4	2
产出	4	4
沮丧	4	4
普通	4	3
回答	4	4
反馈	4	2
学会	4	4
脚本语言	4	4
交互式	4	2
总体目标	4	4
经历	4	4
意见	4	2
人类	4	4
历史	4	2
多功能	4	3
进一步	4	4
第一种	4	4
连续	4	3
并非	4	4
设计阶段	4	3
设计变更	4	2
很小	4	4
挑战性	4	3
指导	4	4
探索	4	3
挑战	4	4
指出	4	4
放弃	4	4
学到	4	4
谨慎	4	3
发挥	4	4
过头	4	3
子系统	4	3
后面	4	3
事实	4	4
手动	4	4
症状	4	2
一项	4	4
指针	4	4
衡量	4	3
办法	4	4
本节	4	4
网络协议	4	4
受到	4	4
没什么	4	3
迅速	4	3
重点	4	4
一名	4	4
加快	4	3
投入	4	2
缓慢	4	3
偿还	4	1
哪里	4	3
换句话说	4	4
初创	4	1
发布	4	3
一家	4	1
产品	4	1
痛苦	4	4
两家	4	2
关心	4	4
关联	4	3
越多越好	4	2
收集	4	4
更糟	4	3
对抗	4	3
并未	4	4
分成	4	3
常见情况	4	3
常用	4	4
规范	4	1
易于理解	4	4
一条	4	4
提到	4	3
专注	4	3
两者	4	4
机会	4	3
参数传递	4	3
何处	4	4
哪个	4	3
尽量减少	4	3
配置	4	4
要么	4	2
意外	4	4
经过	4	4
图形界面	4	4
键入	4	4
选择的区域	4	3
大于	4	3
确认	4	4
尴尬	4	4
历史记录	4	2
栅栏	4	1
所选内容	4	2
整行	4	3
机器	4	2
虽然	4	3
不好	4	4
向下	4	3
最初	4	4
熟悉	4	3
间隔	4	1
过时	4	3
记住	4	4
语法	4	4
属于	4	2
一端	4	1
下面	4	3
以前	4	4
可读性	4	3
资源	4	2
冗余	4	2
诱人	4	3
传播	4	1
关闭	4	2
输出	4	1
抱怨	4	2
期望	4	2
集成	4	3
内存不足	4	1
耗尽	4	1
相信	4	2
推断	4	3
最新	4	3
代码中难以理解的内容	4	2
像素	4	2
填写	4	2
远程	4	2
开头	4	3
年龄	4	1
方便	4	4
实现文档	4	3
笼统	4	2
简洁	4	4
强制执行	4	1
终止符	4	1
脚本	4	1
趋势	4	1
测试驱动开发	4	1
微秒	4	2
指令	4	1
基准	4	1
纳秒	4	1
一直	3	3
令人	3	3
开发工具	3	3
分析	3	3
算法	3	3
效率	3	3
高质量	3	3
伟大	3	3
是否是	3	3
英语	3	3
几次	3	2
修正	3	2
坏主意	3	3
兴趣	3	2
地址	3	1
一两个	3	3
不管	3	3
无效	3	3
现实	3	3
世界	3	2
中将	3	3
减慢	3	3
推移	3	2
彼此	3	3
更为	3	3
充分	3	3
此时	3	2
增长	3	3
当今	3	3
计划	3	3
意思	3	2
审查	3	3
例外	3	3
付出	3	3
列出	3	3
并用	3	3
隔离	3	3
看似	3	3
带有	3	3
分配内存	3	3
第三个	3	3
确信	3	3
既然	3	3
扫描	3	3
相关联	3	3
不足	3	3
成千上万	3	3
逐渐	3	3
形成	3	3
危险	3	3
整洁的设计	3	2
在于	3	3
优先	3	3
当前任务	3	1
不久	3	1
为止	3	3
怀疑	3	3
英雄	3	1
留下	3	2
最快	3	2
简洁的设计	3	3
一次性	3	3
小额	3	2
进展	3	2
曲线	3	1
失去	3	3
更慢	3	3
当时	3	3
超出	3	3
聘请	3	1
发展	3	3
稳定	3	2
清除	3	3
并不比	3	3
今天	3	3
等待	3	2
遍历	3	3
最低	3	2
引发	3	2
模块接口	3	2
操纵	3	3
并非如此	3	3
数据库	3	2
分布	3	2
矩形	3	1
五个	3	2
缓冲区	3	2
次数	3	3
收集器	3	1
回收	3	2
深类	3	3
给出	3	2
称之为	3	3
贡献	3	2
样板	3	3
冗长	3	3
社区	3	2
内置	3	3
少数	3	3
不在	3	3
这么	3	3
对应	3	3
步骤	3	1
体现	3	2
表单	3	1
收到	3	3
第一行	3	3
不错	3	3
如下	3	3
明确要求	3	2
迫使	3	3
通用化	3	1
开来	3	3
预测	3	3
输入	3	2
编辑	3	2
分隔	3	2
减轻	3	3
修订	3	3
上移	3	1
下移	3	1
一无所知	3	2
标记	3	2
到达	3	3
目前为止	3	3
屏幕	3	2
看不到	3	3
一层	3	2
可变	3	2
相邻	3	2
摘录	3	2
上述	3	3
四个	3	3
重叠	3	3
移除	3	3
尽管如此	3	3
笨拙	3	3
强迫	3	3
麻烦	3	2
生活	3	2
自行	3	1
不仅仅	3	3
流行	3	2
管理员	3	2
注意力	3	2
跳转	3	2
两段	3	1
交互	3	2
局部变量	3	2
嵌套	3	2
时会	3	3
起始	3	2
理由	3	2
发现自己	3	3
连体方法	3	2
足以	3	3
容纳	3	2
向上	3	1
破坏	3	2
堆栈	3	2
处于	3	3
本来	3	1
升级	3	1
有时候	3	2
提升	3	2
坚持	3	3
排除	3	3
普遍	3	3
平庸	3	2
几章	3	1
误导	3	3
背后	3	2
前提条件	3	2
的话	3	3
陈旧	3	2
写出	3	3
论点	3	3
误解	3	3
未能	3	3
推断出	3	1
耗时	3	2
成员	3	2
应有	3	1
暗示	3	2
一边	3	2
精确度	3	1
追加	3	2
提及	3	2
含糊	3	2
记录下来	3	3
僵尸	3	1
不当	3	1
年代	3	2
接近	3	2
脑海中	3	2
突出	3	3
含糊不清	3	2
违反	3	3
类型信息	3	1
几天	3	3
最小	3	2
抵制	3	2
头文件	3	1
回车符	3	1
培训	3	1
赋值	3	1
层次结构	3	1
敏捷	3	1
引擎	3	1
测试通过	3	1
提案	3	1
太慢	3	1
销毁	3	1
美国	3	1
