candidate	count	files	forms	first_source
dependency	52	12	"{""dependencies"": 38, ""dependency"": 11, ""Dependencies"": 3}"	epub/ch01.md:13
data	52	11	"{""data"": 51, ""Data"": 1}"	epub/ch03.md:64
test	52	6	"{""tests"": 24, ""test"": 26, ""Tests"": 2}"	epub/ch03.md:82
performance	51	11	"{""performance"": 51}"	epub/preface.md:10
block	51	12	"{""blocks"": 21, ""block"": 29, ""Blocks"": 1}"	epub/ch04.md:55
it's	50	19	"{""It's"": 34, ""it's"": 16}"	epub/ch01.md:7
programming	48	11	"{""programming"": 47, ""Programming"": 1}"	epub/preface.md:4
function	48	12	"{""functions"": 26, ""function"": 22}"	epub/ch01.md:61
selection	48	4	"{""Selection"": 1, ""selection"": 47}"	epub/ch06.md:49
level	46	13	"{""level"": 37, ""levels"": 9}"	epub/preface.md:16
project	45	16	"{""projects"": 15, ""project"": 30}"	epub/preface.md:13
book	45	10	"{""book"": 45}"	epub/preface.md:16
buffer	45	3	"{""buffer"": 2, ""Buffer"": 40, ""Buffers"": 3}"	epub/ch04.md:91
behavior	43	15	"{""behaviors"": 3, ""behavior"": 40}"	epub/ch01.md:10
work	42	18	"{""work"": 38, ""works"": 4}"	epub/preface.md:7
situation	42	14	"{""situations"": 33, ""situation"": 9}"	epub/ch02.md:34
memory	42	9	"{""memory"": 40, ""memories"": 2}"	epub/ch02.md:46
part	41	14	"{""parts"": 15, ""part"": 25, ""Part"": 1}"	epub/ch02.md:19
user interface	40	6	"{""user interface"": 40}"	epub/ch06.md:55
process	39	14	"{""process"": 34, ""processes"": 4, ""Process"": 1}"	epub/preface.md:13
chunk	39	2	"{""chunks"": 18, ""chunk"": 21}"	epub/ch02.md:91
web	38	9	"{""Web"": 38}"	epub/preface.md:37
HTTP	38	6	"{""HTTP"": 38}"	epub/ch04.md:25
character	38	12	"{""character"": 19, ""characters"": 19}"	epub/ch05.md:109
interface comment	38	6	"{""interface comment"": 24, ""interface comments"": 13, ""Interface comments"": 1}"	epub/ch12.md:112
student	37	9	"{""Students"": 4, ""students"": 21, ""student"": 12}"	epub/preface.md:13
form	37	12	"{""forms"": 9, ""form"": 28}"	epub/ch02.md:19
language	36	15	"{""languages"": 10, ""language"": 26}"	epub/preface.md:19
argument	35	13	"{""arguments"": 22, ""argument"": 13}"	epub/ch04.md:16
storage	34	8	"{""storage"": 34}"	epub/preface.md:19
goal	34	18	"{""goal"": 26, ""goals"": 8}"	epub/preface.md:40
sense	34	10	"{""sense"": 34}"	epub/ch05.md:55
convention	34	3	"{""conventions"": 25, ""Conventions"": 1, ""convention"": 8}"	epub/ch13.md:19
people	33	13	"{""People"": 3, ""people"": 30}"	epub/preface.md:4
technique	33	12	"{""techniques"": 26, ""technique"": 7}"	epub/preface.md:4
benefit	33	15	"{""benefit"": 15, ""benefits"": 18}"	epub/ch02.md:22
pattern	32	8	"{""patterns"": 14, ""pattern"": 17, ""Patterns"": 1}"	epub/preface.md:4
need	32	13	"{""need"": 23, ""needs"": 9}"	epub/ch02.md:25
declaration	32	9	"{""declaration"": 25, ""declarations"": 7}"	epub/ch02.md:79
type	32	9	"{""types"": 15, ""type"": 17}"	epub/ch04.md:34
response	32	6	"{""response"": 27, ""responses"": 5}"	epub/ch05.md:79
cursor	32	3	"{""cursor"": 32}"	epub/ch06.md:40
context	32	5	"{""context"": 27, ""Contexts"": 2, ""contexts"": 3}"	epub/ch06.md:220
word	31	12	"{""word"": 11, ""words"": 20}"	epub/preface.md:25
page	31	9	"{""page"": 18, ""pages"": 13}"	epub/preface.md:37
network	31	12	"{""network"": 30, ""Network"": 1}"	epub/ch01.md:61
API	31	7	"{""API"": 31}"	epub/ch02.md:73
amount	30	14	"{""amount"": 29, ""amounts"": 1}"	epub/preface.md:19
simpler	30	15	"{""simpler"": 30}"	epub/ch01.md:16
special case	30	8	"{""special cases"": 23, ""Special cases"": 2, ""special case"": 5}"	epub/ch01.md:19
path	30	6	"{""path"": 24, ""paths"": 6}"	epub/ch03.md:28
call	30	9	"{""call"": 20, ""calls"": 10}"	epub/ch04.md:91
instance	30	10	"{""instance"": 27, ""instances"": 3}"	epub/ch05.md:37
issue	29	14	"{""issues"": 20, ""issue"": 9}"	epub/preface.md:13
one	29	17	"{""ones"": 21, ""one"": 8}"	epub/preface.md:13
principle	29	14	"{""principles"": 14, ""principle"": 15}"	epub/preface.md:13
point	29	16	"{""point"": 24, ""points"": 5}"	epub/preface.md:19
decision	29	14	"{""decision"": 16, ""decisions"": 13}"	epub/ch02.md:43
message	29	7	"{""messages"": 8, ""message"": 21}"	epub/ch02.md:79
matter	29	8	"{""matter"": 20, ""matters"": 9}"	epub/ch03.md:46
position	29	10	"{""position"": 22, ""positions"": 6, ""Positions"": 1}"	epub/ch04.md:91
program	28	10	"{""programs"": 7, ""program"": 21}"	epub/preface.md:4
lot	28	14	"{""lot"": 20, ""lots"": 8}"	epub/ch02.md:10
purpose	28	10	"{""purposes"": 16, ""purpose"": 12}"	epub/ch02.md:19
investment	28	9	"{""investment"": 17, ""investments"": 11}"	epub/ch03.md:40
editor	27	8	"{""editors"": 1, ""editor"": 26}"	epub/preface.md:19
red flag	27	14	"{""red flags"": 8, ""red flag"": 19}"	epub/ch01.md:52
flag	27	14	"{""flags"": 8, ""flag"": 19}"	epub/ch01.md:52
range	27	12	"{""range"": 22, ""ranges"": 5}"	epub/ch03.md:64
hiding	27	6	"{""hiding"": 27}"	epub/ch05.md:37
software system	26	15	"{""software system"": 11, ""Software systems"": 2, ""software systems"": 12, ""Software System"": 1}"	epub/ch01.md:22
section	26	12	"{""sections"": 4, ""section"": 8, ""Section"": 14}"	epub/ch01.md:58
java	26	11	"{""Java"": 26}"	epub/ch01.md:61
signature	26	9	"{""signature"": 19, ""signatures"": 7}"	epub/ch02.md:70
information hiding	26	6	"{""Information hiding"": 2, ""information hiding"": 24}"	epub/ch05.md:37
layer	26	4	"{""layers"": 15, ""layer"": 11}"	epub/ch07.md:7
doesn't	25	15	"{""doesn't"": 25}"	epub/preface.md:40
term	25	13	"{""terms"": 13, ""term"": 12}"	epub/preface.md:43
leakage	25	6	"{""leakage"": 25}"	epub/ch05.md:52
index	25	3	"{""indexes"": 8, ""index"": 13, ""indices"": 4}"	epub/ch10.md:178
programmer	24	10	"{""programmers"": 15, ""Programmers"": 3, ""programmer"": 6}"	epub/preface.md:7
best way	24	15	"{""best way"": 22, ""best ways"": 2}"	epub/preface.md:28
alternative	24	10	"{""alternatives"": 15, ""alternative"": 9}"	epub/ch01.md:43
load	24	8	"{""load"": 24}"	epub/ch02.md:46
kind	24	11	"{""kind"": 12, ""kinds"": 12}"	epub/ch03.md:25
list	24	7	"{""lists"": 2, ""list"": 22}"	epub/ch04.md:130
condition	24	9	"{""conditions"": 15, ""condition"": 8, ""Conditions"": 1}"	epub/ch05.md:103
design pattern	23	5	"{""design patterns"": 8, ""design pattern"": 11, ""Design patterns"": 3, ""Design Patterns"": 1}"	epub/preface.md:4
cognitive load	23	8	"{""Cognitive load"": 3, ""cognitive load"": 20}"	epub/ch02.md:46
obscurity	23	6	"{""obscurity"": 16, ""Obscurity"": 5, ""obscurities"": 2}"	epub/ch02.md:67
unit	23	5	"{""units"": 6, ""unit"": 13, ""Unit"": 4}"	epub/ch02.md:79
handler	23	4	"{""handlers"": 9, ""handler"": 14}"	epub/ch04.md:106
use	23	13	"{""use"": 21, ""Use"": 2}"	epub/ch04.md:199
knowledge	23	9	"{""knowledge"": 23}"	epub/ch05.md:13
element	22	12	"{""element"": 9, ""elements"": 12, ""Elements"": 1}"	epub/ch01.md:40
color	22	1	"{""color"": 22}"	epub/ch02.md:43
good design	22	7	"{""good design"": 15, ""better designs"": 2, ""Good design"": 2, ""better design"": 2, ""good designs"": 1}"	epub/ch02.md:43
software development	21	11	"{""software development"": 21}"	epub/preface.md:4
version	21	8	"{""version"": 21}"	epub/preface.md:4
task	21	10	"{""task"": 17, ""tasks"": 4}"	epub/preface.md:7
end	21	10	"{""end"": 21}"	epub/ch01.md:25
someone	21	8	"{""someone"": 20, ""Someone"": 1}"	epub/ch01.md:52
rule	21	10	"{""rule"": 12, ""rules"": 9}"	epub/ch01.md:58
design decision	21	12	"{""design decision"": 11, ""design decisions"": 10}"	epub/ch02.md:43
string	21	8	"{""string"": 19, ""strings"": 2}"	epub/ch02.md:79
access	21	6	"{""access"": 17, ""accesses"": 4}"	epub/ch04.md:91
information leakage	21	6	"{""information leakage"": 17, ""Information leakage"": 4}"	epub/ch05.md:52
configuration	21	6	"{""configuration"": 19, ""Configuration"": 2}"	epub/ch05.md:169
bit	20	11	"{""bit"": 18, ""bits"": 2}"	epub/preface.md:10
existence	20	11	"{""existence"": 20}"	epub/preface.md:16
mistake	20	10	"{""mistakes"": 10, ""mistake"": 10}"	epub/preface.md:16
cost	20	8	"{""cost"": 13, ""costs"": 7}"	epub/ch01.md:13
something	20	12	"{""something"": 20}"	epub/ch02.md:46
entity	20	8	"{""entity"": 18, ""entities"": 2}"	epub/ch04.md:46
device	20	4	"{""device"": 15, ""devices"": 5}"	epub/ch04.md:55
packet	20	6	"{""packets"": 12, ""packet"": 8}"	epub/ch07.md:13
parent	20	2	"{""parent"": 20}"	epub/ch09.md:226
consistency	20	5	"{""consistency"": 10, ""Consistency"": 10}"	epub/ch10.md:34
ramcloud	20	3	"{""RAMCloud"": 20}"	epub/ch10.md:241
high level	19	8	"{""high level"": 6, ""higher level"": 11, ""higher levels"": 2}"	epub/preface.md:16
future	19	10	"{""future"": 19}"	epub/preface.md:37
space	19	4	"{""space"": 19}"	epub/ch01.md:43
variable name	19	6	"{""variable name"": 12, ""variable names"": 7}"	epub/ch02.md:79
disk	19	9	"{""disk"": 18, ""disks"": 1}"	epub/ch04.md:97
critical path	19	1	"{""critical path"": 16, ""critical paths"": 3}"	epub/ch20.md:64
addition	18	11	"{""addition"": 17, ""additions"": 1}"	epub/preface.md:10
course	18	12	"{""course"": 18}"	epub/preface.md:13
team	18	10	"{""teams"": 10, ""team"": 8}"	epub/preface.md:19
component	18	2	"{""components"": 14, ""component"": 4}"	epub/ch01.md:13
protocol	18	8	"{""protocols"": 1, ""protocol"": 17}"	epub/ch02.md:70
instance variable	18	7	"{""instance variable"": 7, ""instance variables"": 11}"	epub/ch05.md:163
action	18	3	"{""actions"": 13, ""action"": 5}"	epub/ch06.md:148
statement	18	7	"{""statements"": 11, ""statement"": 7}"	epub/ch06.md:220
pass-through method	18	2	"{""pass-through methods"": 9, ""pass-through method"": 3, ""Pass-through methods"": 5, ""Pass-Through Method"": 1}"	epub/ch07.md:22
tool	17	8	"{""tools"": 10, ""tool"": 7}"	epub/preface.md:4
state	17	9	"{""state"": 14, ""states"": 3}"	epub/preface.md:4
experience	17	9	"{""experience"": 14, ""experiences"": 3}"	epub/preface.md:19
modification	17	9	"{""modifications"": 14, ""modification"": 3}"	epub/ch02.md:43
return	17	8	"{""return"": 13, ""returns"": 4}"	epub/ch04.md:34
file system	17	5	"{""file system"": 16, ""file systems"": 1}"	epub/ch04.md:55
configuration parameter	17	4	"{""configuration parameters"": 12, ""Configuration parameters"": 2, ""configuration parameter"": 3}"	epub/ch05.md:169
subclass	17	5	"{""subclasses"": 10, ""subclass"": 6, ""Subclasses"": 1}"	epub/ch06.md:211
phase	16	5	"{""phases"": 5, ""phase"": 11}"	epub/ch01.md:25
collection	16	11	"{""collection"": 16}"	epub/ch01.md:43
site	16	2	"{""site"": 14, ""sites"": 2}"	epub/ch02.md:43
solution	16	12	"{""solution"": 13, ""solutions"": 3}"	epub/ch02.md:58
tactical programming	16	3	"{""Tactical Programming"": 1, ""tactical programming"": 14, ""Tactical programming"": 1}"	epub/ch03.md:7
engineer	16	2	"{""engineers"": 12, ""Engineers"": 2, ""engineer"": 2}"	epub/ch03.md:31
HTTP request	16	5	"{""HTTP requests"": 5, ""HTTP request"": 11}"	epub/ch04.md:25
data structure	16	6	"{""data structures"": 6, ""data structure"": 9, ""Data structure"": 1}"	epub/ch05.md:34
body	16	6	"{""body"": 11, ""bodies"": 5}"	epub/ch05.md:88
loop	16	5	"{""loops"": 8, ""loop"": 7, ""Loops"": 1}"	epub/ch06.md:124
meaning	16	5	"{""meaning"": 16}"	epub/ch12.md:37
inheritance	16	1	"{""inheritance"": 15, ""Inheritance"": 1}"	epub/ch19.md:13
decomposition	15	6	"{""decomposition"": 14, ""Decomposition"": 1}"	epub/preface.md:7
question	15	9	"{""questions"": 7, ""question"": 8}"	epub/preface.md:13
don't	15	10	"{""don't"": 9, ""Don't"": 6}"	epub/preface.md:25
definition	15	8	"{""definition"": 15}"	epub/ch01.md:25
designer	15	9	"{""designers"": 6, ""designer"": 9}"	epub/ch01.md:28
background	15	3	"{""background"": 15}"	epub/ch01.md:64
choice	15	8	"{""choices"": 5, ""choice"": 10}"	epub/ch02.md:10
rest	15	10	"{""rest"": 15}"	epub/ch02.md:13
view	15	7	"{""view"": 13, ""views"": 2}"	epub/ch02.md:49
simple interface	15	7	"{""simple interface"": 10, ""simple interfaces"": 3, ""simpler interfaces"": 1, ""simplest interface"": 1}"	epub/ch04.md:22
key	15	7	"{""key"": 14, ""keys"": 1}"	epub/ch04.md:22
crash	15	3	"{""crashes"": 12, ""crash"": 3}"	epub/ch04.md:55
URL	15	4	"{""URL"": 15}"	epub/ch05.md:88
insertion	15	3	"{""insertion"": 13, ""insertions"": 2}"	epub/ch06.md:142
copy	15	7	"{""copy"": 8, ""copies"": 7}"	epub/ch08.md:19
improvement	14	7	"{""improvements"": 8, ""improvement"": 6}"	epub/preface.md:13
others	14	11	"{""others"": 14}"	epub/ch02.md:10
web site	14	1	"{""Web site"": 12, ""Web sites"": 2}"	epub/ch02.md:43
isn't	14	9	"{""isn't"": 14}"	epub/ch02.md:82
system design	14	6	"{""system design"": 13, ""System Design"": 1}"	epub/ch02.md:82
company	14	2	"{""companies"": 7, ""company"": 7}"	epub/ch03.md:70
unix	14	3	"{""Unix"": 14}"	epub/ch04.md:73
header	14	4	"{""headers"": 3, ""header"": 11}"	epub/ch05.md:88
allocation	14	3	"{""allocation"": 12, ""allocations"": 2}"	epub/ch10.md:259
good comment	14	3	"{""good comments"": 8, ""Good comments"": 1, ""better comment"": 2, ""better comments"": 2, ""good comment"": 1}"	epub/ch12.md:13
good name	14	3	"{""good names"": 11, ""Good names"": 2, ""good name"": 1}"	epub/ch13.md:859
fix	13	6	"{""fixes"": 3, ""fix"": 9, ""Fixes"": 1}"	epub/preface.md:16
storage system	13	5	"{""storage systems"": 2, ""storage system"": 11}"	epub/preface.md:19
reason	13	9	"{""reason"": 10, ""reasons"": 3}"	epub/preface.md:37
mind	13	10	"{""mind"": 11, ""minds"": 2}"	epub/ch01.md:10
anything	13	11	"{""anything"": 13}"	epub/ch01.md:28
new class	13	11	"{""new class"": 12, ""new classes"": 1}"	epub/ch02.md:73
mindset	13	8	"{""mindset"": 13}"	epub/ch03.md:10
first	13	8	"{""First"": 13}"	epub/ch04.md:28
O	13	6	"{""O"": 13}"	epub/ch04.md:73
default	13	6	"{""default"": 9, ""defaults"": 2, ""Defaults"": 2}"	epub/ch04.md:91
format	13	3	"{""format"": 13}"	epub/ch05.md:52
us	13	10	"{""uses"": 13}"	epub/ch05.md:169
specialization	13	1	"{""specialization"": 11, ""Specialization"": 2}"	epub/ch06.md:7
new method	13	7	"{""new method"": 6, ""new methods"": 7}"	epub/ch06.md:58
decorator	13	1	"{""decorator"": 10, ""decorators"": 2, ""Decorator"": 1}"	epub/ch07.md:133
core	12	7	"{""core"": 12}"	epub/preface.md:4
quality	12	6	"{""quality"": 12}"	epub/preface.md:10
skill	12	7	"{""skills"": 7, ""skill"": 5}"	epub/preface.md:10
C	12	9	"{""C"": 12}"	epub/ch01.md:61
table	12	4	"{""table"": 9, ""tables"": 3}"	epub/ch02.md:79
length	12	4	"{""length"": 12}"	epub/ch04.md:67
subdivision	12	1	"{""subdivision"": 8, ""Subdivision"": 4}"	epub/ch09.md:10
recovery	12	2	"{""recovery"": 12}"	epub/ch10.md:37
unit test	12	1	"{""unit tests"": 4, ""Unit tests"": 4, ""unit test"": 4}"	epub/ch19.md:55
year	11	6	"{""years"": 11}"	epub/preface.md:4
cannot	11	9	"{""cannot"": 11}"	epub/preface.md:10
variety	11	7	"{""variety"": 11}"	epub/preface.md:19
factor	11	8	"{""factors"": 10, ""factor"": 1}"	epub/ch01.md:13
effort	11	6	"{""efforts"": 1, ""effort"": 10}"	epub/ch01.md:16
step	11	7	"{""step"": 9, ""steps"": 2}"	epub/ch02.md:7
hand	11	9	"{""hand"": 11}"	epub/ch02.md:43
c	11	4	"{""c"": 11}"	epub/ch02.md:52
strategic approach	11	2	"{""strategic approach"": 11}"	epub/ch03.md:10
system's	11	8	"{""system's"": 11}"	epub/ch03.md:58
aspect	11	6	"{""aspects"": 11}"	epub/ch04.md:28
return value	11	5	"{""return value"": 8, ""return values"": 3}"	epub/ch04.md:34
document	11	5	"{""documents"": 2, ""document"": 8, ""Document"": 1}"	epub/ch05.md:31
setter	11	3	"{""setter"": 4, ""setters"": 7}"	epub/ch05.md:43
separate method	11	3	"{""separate methods"": 5, ""separate method"": 6}"	epub/ch05.md:46
method's	11	5	"{""method's"": 11}"	epub/ch09.md:229
fashion	10	8	"{""fashion"": 10}"	epub/preface.md:13
life	10	7	"{""life"": 9, ""lives"": 1}"	epub/ch01.md:13
beginning	10	7	"{""beginning"": 10}"	epub/ch01.md:25
today	10	7	"{""today"": 10}"	epub/ch01.md:31
fraction	10	8	"{""fraction"": 10}"	epub/ch01.md:37
service	10	5	"{""services"": 4, ""service"": 6}"	epub/ch01.md:61
impact	10	6	"{""impact"": 10}"	epub/ch02.md:28
b	10	4	"{""b"": 10}"	epub/ch02.md:43
reference	10	6	"{""reference"": 10}"	epub/ch02.md:43
invocation	10	7	"{""invocations"": 3, ""invocation"": 7}"	epub/ch02.md:70
important information	10	4	"{""important information"": 10}"	epub/ch02.md:79
new feature	10	8	"{""new feature"": 8, ""new features"": 2}"	epub/ch02.md:100
base	10	4	"{""base"": 10}"	epub/ch02.md:100
tactical approach	10	2	"{""tactical approach"": 10}"	epub/ch03.md:10
notion	10	5	"{""notion"": 9, ""notions"": 1}"	epub/ch04.md:67
large number	10	8	"{""large numbers"": 1, ""large number"": 9}"	epub/ch04.md:157
style	10	6	"{""style"": 9, ""styles"": 1}"	epub/ch04.md:160
web server	10	3	"{""Web servers"": 2, ""Web server"": 8}"	epub/ch05.md:79
backspace	10	3	"{""backspace"": 10}"	epub/ch06.md:40
new code	10	4	"{""new code"": 10}"	epub/ch06.md:91
driver	10	4	"{""drivers"": 6, ""driver"": 4}"	epub/ch06.md:136
general-purpose mechanism	10	4	"{""general-purpose mechanism"": 7, ""general-purpose mechanisms"": 3}"	epub/ch06.md:148
nothing	10	6	"{""nothing"": 10}"	epub/ch06.md:148
category	10	4	"{""categories"": 5, ""category"": 5}"	epub/ch06.md:196
byte	10	4	"{""bytes"": 8, ""byte"": 2}"	epub/ch06.md:226
method call	10	6	"{""method call"": 7, ""method calls"": 3}"	epub/ch07.md:7
array	10	4	"{""array"": 9, ""arrays"": 1}"	epub/ch07.md:10
original method	10	1	"{""original methods"": 2, ""original method"": 8}"	epub/ch09.md:52
source	10	6	"{""source"": 6, ""sources"": 4}"	epub/ch09.md:133
failure	10	3	"{""failures"": 6, ""Failures"": 2, ""failure"": 2}"	epub/ch10.md:133
tcl	10	3	"{""Tcl"": 10}"	epub/ch10.md:142
implementation comment	10	3	"{""Implementation comments"": 3, ""implementation comments"": 7}"	epub/ch13.md:40
parent class	10	1	"{""parent class"": 10}"	epub/ch19.md:16
discussion	9	7	"{""discussion"": 7, ""discussions"": 2}"	epub/preface.md:4
agile	9	3	"{""agile"": 6, ""Agile"": 3}"	epub/preface.md:4
agile development	9	3	"{""agile development"": 6, ""Agile development"": 3}"	epub/preface.md:4
single class	9	5	"{""single class"": 9}"	epub/preface.md:7
reading	9	5	"{""reading"": 9}"	epub/preface.md:19
GUI	9	7	"{""GUI"": 9}"	epub/preface.md:19
thought	9	8	"{""thoughts"": 5, ""thought"": 4}"	epub/preface.md:34
C++	9	6	"{""C++"": 9}"	epub/ch01.md:61
assumption	9	6	"{""assumptions"": 6, ""assumption"": 3}"	epub/ch02.md:13
size	9	6	"{""size"": 9}"	epub/ch02.md:25
background color	9	1	"{""background color"": 9}"	epub/ch02.md:43
unknown	9	4	"{""unknowns"": 9}"	epub/ch02.md:58
can't	9	6	"{""can't"": 9}"	epub/ch02.md:73
entry	9	3	"{""entry"": 4, ""entries"": 5}"	epub/ch02.md:79
there's	9	6	"{""There's"": 7, ""there's"": 2}"	epub/ch03.md:25
progress	9	4	"{""progress"": 9}"	epub/ch03.md:31
important thing	9	9	"{""important thing"": 5, ""important things"": 4}"	epub/ch03.md:37
extra time	9	5	"{""extra time"": 9}"	epub/ch03.md:43
good documentation	9	5	"{""good documentation"": 6, ""Good documentation"": 2, ""better documentation"": 1}"	epub/ch03.md:43
second	9	7	"{""Second"": 8, ""second"": 1}"	epub/ch04.md:28
module's	9	6	"{""module's"": 9}"	epub/ch04.md:28
class's	9	6	"{""class's"": 9}"	epub/ch04.md:37
cache	9	5	"{""cache"": 7, ""caches"": 1, ""Cache"": 1}"	epub/ch04.md:55
other hand	9	8	"{""other hand"": 9}"	epub/ch04.md:130
buffering	9	4	"{""buffering"": 8, ""Buffering"": 1}"	epub/ch04.md:190
temporal decomposition	9	2	"{""temporal decomposition"": 8, ""Temporal Decomposition"": 1}"	epub/ch05.md:61
text editor	9	5	"{""text editor"": 9}"	epub/ch06.md:34
deletion	9	3	"{""deletions"": 3, ""deletion"": 6}"	epub/ch06.md:49
operating	9	5	"{""operating"": 8, ""Operating"": 1}"	epub/ch06.md:136
command	9	3	"{""command"": 7, ""commands"": 2}"	epub/ch06.md:136
check	9	5	"{""checks"": 6, ""check"": 3}"	epub/ch06.md:223
new functionality	9	2	"{""new functionality"": 9}"	epub/ch07.md:115
property	9	8	"{""property"": 3, ""properties"": 6}"	epub/ch07.md:127
pass-through variable	9	1	"{""pass-through variable"": 5, ""Pass-through variables"": 1, ""pass-through variables"": 3}"	epub/ch07.md:169
handling	9	3	"{""handling"": 9}"	epub/ch07.md:190
NFS	9	1	"{""NFS"": 9}"	epub/ch10.md:196
commit	9	3	"{""commit"": 9}"	epub/ch16.md:67
control	8	7	"{""control"": 8}"	epub/preface.md:4
set	8	6	"{""set"": 8}"	epub/preface.md:13
thread	8	4	"{""threads"": 6, ""thread"": 2}"	epub/preface.md:22
paragraph	8	5	"{""paragraph"": 7, ""paragraphs"": 1}"	epub/preface.md:34
modular design	8	2	"{""modular design"": 8}"	epub/ch01.md:22
other module	8	3	"{""other modules"": 7, ""other module"": 1}"	epub/ch01.md:22
