english	preferred_zh	en_count	en_files	en_forms	en_locations	zh_count	zh_files	zh_variants	zh_locations
information hiding	信息隐藏	6	4	"{""Information hiding"": 1, ""information hiding"": 5}"	docs/en/ch05.md:25; docs/en/ch06.md:5; docs/en/ch06.md:85; docs/en/ch06.md:163; docs/en/ch09.md:45; docs/en/summary.md:30	25	6	"{""信息隐藏"": 25}"	docs/ch05.md:7; docs/ch05.md:19; docs/ch05.md:23; docs/ch05.md:25; docs/ch05.md:29; docs/ch05.md:41; docs/ch05.md:49; docs/ch05.md:61; docs/ch05.md:63; docs/ch05.md:71; docs/ch05.md:73; docs/ch05.md:107; docs/ch05.md:111; docs/ch05.md:115; docs/ch06.md:5; docs/ch06.md:85; docs/ch06.md:161; docs/ch09.md:205; docs/ch10.md:124; docs/ch19.md:7; docs/ch19.md:19; docs/ch19.md:67; docs/summary.md:30
information leakage	信息泄露	5	4	"{""information leakage"": 4, ""Information Leakage"": 1}"	docs/en/ch05.md:27; docs/en/ch06.md:43; docs/en/ch06.md:113; docs/en/ch22.md:3; docs/en/summary.md:29	23	7	"{""信息泄露"": 23}"	docs/ch05.md:29; docs/ch05.md:31; docs/ch05.md:33; docs/ch05.md:35; docs/ch05.md:39; docs/ch05.md:45; docs/ch05.md:59; docs/ch05.md:95; docs/ch05.md:117; docs/ch06.md:41; docs/ch06.md:111; docs/ch08.md:29; docs/ch09.md:105; docs/ch09.md:125; docs/ch19.md:15; docs/ch22.md:3; docs/summary.md:29
general-purpose	通用	55	4	"{""general-purpose"": 54, ""General-purpose"": 1}"	docs/en/ch06.md:3; docs/en/ch06.md:5; docs/en/ch06.md:7; docs/en/ch06.md:11; docs/en/ch06.md:13; docs/en/ch06.md:15; docs/en/ch06.md:17; docs/en/ch06.md:55; docs/en/ch06.md:73; docs/en/ch06.md:75; docs/en/ch06.md:85; docs/en/ch06.md:91; docs/en/ch06.md:93; docs/en/ch06.md:95; docs/en/ch06.md:97; docs/en/ch06.md:101; docs/en/ch06.md:103; docs/en/ch06.md:105; docs/en/ch06.md:113; docs/en/ch06.md:115; docs/en/ch06.md:141; docs/en/ch06.md:147; docs/en/ch06.md:149; docs/en/ch06.md:163; docs/en/ch11.md:12; docs/en/ch21.md:11; docs/en/summary.md:13; docs/en/summary.md:14	106	16	"{""通用"": 105, ""通用用途"": 1}"	docs/preface.md:15; docs/preface.md:23; docs/ch01.md:9; docs/ch02.md:55; docs/ch05.md:63; docs/ch06.md:3; docs/ch06.md:5; docs/ch06.md:7; docs/ch06.md:11; docs/ch06.md:13; docs/ch06.md:15; docs/ch06.md:17; docs/ch06.md:45; docs/ch06.md:53; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:83; docs/ch06.md:89; docs/ch06.md:91; docs/ch06.md:93; docs/ch06.md:95; docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103; docs/ch06.md:111; docs/ch06.md:113; docs/ch06.md:139; docs/ch06.md:145; docs/ch06.md:147; docs/ch06.md:161; docs/ch07.md:70; docs/ch07.md:74; docs/ch09.md:105; docs/ch09.md:121; docs/ch09.md:123; docs/ch09.md:125; docs/ch09.md:179; docs/ch09.md:185; docs/ch10.md:126; docs/ch10.md:136; docs/ch10.md:164; docs/ch11.md:12; docs/ch14.md:69; docs/ch14.md:73; docs/ch14.md:89; docs/ch14.md:99; docs/ch14.md:101; docs/ch14.md:103; docs/ch14.md:109; docs/ch18.md:13; docs/ch18.md:117; docs/ch18.md:123; docs/ch18.md:125; docs/ch18.md:127; docs/ch19.md:29; docs/ch19.md:31; docs/ch20.md:42; docs/ch21.md:11; docs/ch22.md:3; docs/summary.md:13; docs/summary.md:14; docs/summary.md:34
special-purpose	专用	27	2	"{""special-purpose"": 27}"	docs/en/ch06.md:7; docs/en/ch06.md:11; docs/en/ch06.md:13; docs/en/ch06.md:15; docs/en/ch06.md:23; docs/en/ch06.md:73; docs/en/ch06.md:91; docs/en/ch06.md:93; docs/en/ch06.md:95; docs/en/ch06.md:113; docs/en/ch06.md:135; docs/en/ch06.md:147; docs/en/ch06.md:149; docs/en/ch06.md:163; docs/en/summary.md:14; docs/en/summary.md:34	75	8	"{""专用"": 65, ""专门"": 9, ""特殊用途"": 1}"	docs/ch06.md:3; docs/ch06.md:7; docs/ch06.md:11; docs/ch06.md:13; docs/ch06.md:15; docs/ch06.md:17; docs/ch06.md:25; docs/ch06.md:33; docs/ch06.md:41; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:89; docs/ch06.md:91; docs/ch06.md:93; docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103; docs/ch06.md:111; docs/ch06.md:133; docs/ch06.md:145; docs/ch06.md:147; docs/ch06.md:151; docs/ch06.md:153; docs/ch06.md:161; docs/ch07.md:70; docs/ch07.md:75; docs/ch09.md:105; docs/ch09.md:121; docs/ch09.md:123; docs/ch09.md:125; docs/ch09.md:140; docs/ch10.md:136; docs/ch18.md:125; docs/ch19.md:29; docs/ch21.md:11; docs/summary.md:14; docs/summary.md:34
specialization	专用化	15	1	"{""specialization"": 12, ""over-specialization"": 1, ""Specialization"": 2}"	docs/en/ch06.md:3; docs/en/ch06.md:7; docs/en/ch06.md:41; docs/en/ch06.md:101; docs/en/ch06.md:103; docs/en/ch06.md:105; docs/en/ch06.md:153; docs/en/ch06.md:163	10	1	"{""专用化"": 9, ""专业化"": 1}"	docs/ch06.md:3; docs/ch06.md:7; docs/ch06.md:13; docs/ch06.md:39; docs/ch06.md:99; docs/ch06.md:151
generality	通用性	2	1	"{""generality"": 2}"	docs/en/ch06.md:3; docs/en/ch06.md:7	5	3	"{""通用化"": 3, ""通用性"": 2}"	docs/ch06.md:3; docs/ch06.md:5; docs/ch06.md:7; docs/ch09.md:185; docs/ch19.md:31
special case	特殊情况	16	5	"{""special cases"": 8, ""Special cases"": 2, ""special case"": 2, ""special-case"": 4}"	docs/en/ch01.md:10; docs/en/ch06.md:5; docs/en/ch06.md:153; docs/en/ch06.md:157; docs/en/ch06.md:159; docs/en/ch06.md:163; docs/en/ch10.md:25; docs/en/ch18.md:17; docs/en/ch21.md:5	39	10	"{""特殊情况"": 39}"	docs/ch01.md:9; docs/ch06.md:5; docs/ch06.md:151; docs/ch06.md:155; docs/ch06.md:157; docs/ch06.md:161; docs/ch08.md:23; docs/ch10.md:3; docs/ch10.md:16; docs/ch10.md:62; docs/ch10.md:156; docs/ch10.md:164; docs/ch13.md:289; docs/ch16.md:9; docs/ch17.md:19; docs/ch18.md:154; docs/ch20.md:26; docs/ch20.md:40; docs/ch20.md:44; docs/ch20.md:64; docs/ch20.md:113; docs/ch20.md:115; docs/ch20.md:117; docs/ch21.md:5
edge case/condition	边界情况	2	1	"{""edge cases"": 1, ""edge conditions"": 1}"	docs/en/ch06.md:5; docs/en/ch06.md:153	3	2	"{""边界情况"": 2, ""边界条件"": 1}"	docs/ch06.md:5; docs/ch06.md:151; docs/ch13.md:111
interface	接口	89	12	"{""interfaces"": 7, ""interface"": 80, ""Interfaces"": 1, ""Interface"": 1}"	docs/en/preface.md:29; docs/en/ch04.md:21; docs/en/ch04.md:23; docs/en/ch05.md:25; docs/en/ch06.md:15; docs/en/ch06.md:17; docs/en/ch06.md:41; docs/en/ch06.md:43; docs/en/ch06.md:55; docs/en/ch06.md:73; docs/en/ch06.md:75; docs/en/ch06.md:85; docs/en/ch06.md:87; docs/en/ch06.md:91; docs/en/ch06.md:93; docs/en/ch06.md:97; docs/en/ch06.md:103; docs/en/ch06.md:105; docs/en/ch06.md:111; docs/en/ch06.md:113; docs/en/ch06.md:133; docs/en/ch06.md:135; docs/en/ch06.md:143; docs/en/ch07.md:22; docs/en/ch08.md:3; docs/en/ch09.md:7; docs/en/ch09.md:41; docs/en/ch09.md:45; docs/en/ch11.md:5; docs/en/ch11.md:9; docs/en/ch11.md:11; docs/en/ch11.md:12; docs/en/ch11.md:13; docs/en/ch11.md:17; docs/en/ch11.md:19; docs/en/ch12.md:36; docs/en/ch21.md:5; docs/en/ch21.md:11; docs/en/ch21.md:23; docs/en/ch21.md:31; docs/en/ch22.md:3; docs/en/summary.md:11; docs/en/summary.md:12; docs/en/summary.md:28; docs/en/summary.md:37	264	20	"{""接口"": 264}"	docs/preface.md:29; docs/ch04.md:11; docs/ch04.md:13; docs/ch04.md:15; docs/ch04.md:17; docs/ch04.md:21; docs/ch04.md:23; docs/ch04.md:25; docs/ch04.md:31; docs/ch04.md:35; docs/ch04.md:41; docs/ch04.md:45; docs/ch04.md:47; docs/ch04.md:49; docs/ch04.md:61; docs/ch04.md:71; docs/ch04.md:73; docs/ch04.md:79; docs/ch04.md:89; docs/ch04.md:93; docs/ch04.md:99; docs/ch04.md:115; docs/ch04.md:117; docs/ch04.md:121; docs/ch04.md:123; docs/ch05.md:7; docs/ch05.md:19; docs/ch05.md:21; docs/ch05.md:29; docs/ch05.md:31; docs/ch05.md:61; docs/ch05.md:63; docs/ch05.md:73; docs/ch05.md:81; docs/ch05.md:83; docs/ch05.md:91; docs/ch05.md:97; docs/ch05.md:111; docs/ch05.md:115; docs/ch06.md:15; docs/ch06.md:17; docs/ch06.md:73; docs/ch06.md:83; docs/ch06.md:85; docs/ch06.md:89; docs/ch06.md:91; docs/ch06.md:95; docs/ch06.md:103; docs/ch06.md:131; docs/ch07.md:44; docs/ch07.md:46; docs/ch07.md:64; docs/ch07.md:79; docs/ch07.md:83; docs/ch07.md:85; docs/ch07.md:91; docs/ch07.md:111; docs/ch08.md:3; docs/ch08.md:11; docs/ch08.md:27; docs/ch09.md:7; docs/ch09.md:27; docs/ch09.md:105; docs/ch09.md:121; docs/ch09.md:167; docs/ch09.md:173; docs/ch09.md:175; docs/ch09.md:177; docs/ch09.md:179; docs/ch09.md:185; docs/ch09.md:189; docs/ch09.md:201; docs/ch09.md:205; docs/ch10.md:64; docs/ch10.md:102; docs/ch10.md:158; docs/ch11.md:5; docs/ch11.md:9; docs/ch11.md:11; docs/ch11.md:12; docs/ch11.md:13; docs/ch11.md:17; docs/ch11.md:19; docs/ch12.md:20; docs/ch12.md:22; docs/ch12.md:68; docs/ch13.md:19; docs/ch13.md:27; docs/ch13.md:172; docs/ch13.md:236; docs/ch13.md:238; docs/ch13.md:254; docs/ch13.md:258; docs/ch13.md:259; docs/ch13.md:262; docs/ch13.md:289; docs/ch13.md:293; docs/ch13.md:308; docs/ch13.md:316; docs/ch13.md:352; docs/ch13.md:370; docs/ch13.md:372; docs/ch13.md:374; docs/ch13.md:396; docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:525; docs/ch15.md:18; docs/ch15.md:19; docs/ch15.md:23; docs/ch15.md:27; docs/ch15.md:33; docs/ch15.md:39; docs/ch16.md:23; docs/ch16.md:25; docs/ch16.md:52; docs/ch16.md:54; docs/ch17.md:15; docs/ch18.md:99; docs/ch18.md:101; docs/ch18.md:148; docs/ch19.md:9; docs/ch19.md:11; docs/ch19.md:21; docs/ch19.md:65; docs/ch19.md:67; docs/ch20.md:22; docs/ch20.md:24; docs/ch21.md:5; docs/ch21.md:11; docs/ch21.md:23; docs/ch21.md:31; docs/ch22.md:3; docs/summary.md:11; docs/summary.md:12; docs/summary.md:28; docs/summary.md:37
implementation	实现	30	11	"{""implementation"": 26, ""implementations"": 2, ""Implementation"": 2}"	docs/en/ch01.md:16; docs/en/ch01.md:18; docs/en/ch01.md:20; docs/en/ch04.md:21; docs/en/ch04.md:23; docs/en/ch06.md:15; docs/en/ch06.md:87; docs/en/ch06.md:103; docs/en/ch06.md:155; docs/en/ch08.md:3; docs/en/ch09.md:3; docs/en/ch10.md:27; docs/en/ch11.md:13; docs/en/ch11.md:19; docs/en/ch11.md:21; docs/en/ch16.md:3; docs/en/ch21.md:5; docs/en/ch22.md:3; docs/en/summary.md:12; docs/en/summary.md:28; docs/en/summary.md:35; docs/en/summary.md:37	245	23	"{""实现"": 245}"	docs/README.md:5; docs/ch01.md:3; docs/ch01.md:13; docs/ch01.md:15; docs/ch01.md:17; docs/ch02.md:11; docs/ch02.md:13; docs/ch02.md:15; docs/ch02.md:33; docs/ch02.md:49; docs/ch02.md:69; docs/ch03.md:10; docs/ch03.md:18; docs/ch03.md:26; docs/ch04.md:9; docs/ch04.md:11; docs/ch04.md:13; docs/ch04.md:15; docs/ch04.md:17; docs/ch04.md:31; docs/ch04.md:35; docs/ch04.md:41; docs/ch04.md:59; docs/ch04.md:61; docs/ch04.md:66; docs/ch04.md:71; docs/ch04.md:73; docs/ch04.md:75; docs/ch04.md:79; docs/ch04.md:89; docs/ch04.md:117; docs/ch04.md:121; docs/ch04.md:123; docs/ch05.md:7; docs/ch05.md:9; docs/ch05.md:13; docs/ch05.md:19; docs/ch05.md:49; docs/ch05.md:51; docs/ch05.md:81; docs/ch05.md:91; docs/ch06.md:11; docs/ch06.md:13; docs/ch06.md:15; docs/ch06.md:17; docs/ch06.md:25; docs/ch06.md:39; docs/ch06.md:45; docs/ch06.md:59; docs/ch06.md:65; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:85; docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103; docs/ch06.md:109; docs/ch06.md:111; docs/ch06.md:131; docs/ch06.md:133; docs/ch06.md:137; docs/ch06.md:139; docs/ch06.md:140; docs/ch06.md:141; docs/ch06.md:143; docs/ch06.md:147; docs/ch06.md:151; docs/ch06.md:153; docs/ch06.md:155; docs/ch07.md:5; docs/ch07.md:12; docs/ch07.md:46; docs/ch07.md:64; docs/ch07.md:68; docs/ch07.md:70; docs/ch07.md:77; docs/ch07.md:83; docs/ch07.md:111; docs/ch08.md:3; docs/ch08.md:11; docs/ch08.md:13; docs/ch08.md:21; docs/ch08.md:29; docs/ch09.md:3; docs/ch09.md:5; docs/ch09.md:23; docs/ch09.md:27; docs/ch09.md:105; docs/ch09.md:119; docs/ch09.md:121; docs/ch09.md:177; docs/ch09.md:179; docs/ch09.md:193; docs/ch10.md:86; docs/ch10.md:94; docs/ch10.md:108; docs/ch10.md:110; docs/ch11.md:9; docs/ch11.md:13; docs/ch11.md:19; docs/ch11.md:21; docs/ch11.md:25; docs/ch12.md:22; docs/ch12.md:24; docs/ch13.md:5; docs/ch13.md:23; docs/ch13.md:27; docs/ch13.md:234; docs/ch13.md:236; docs/ch13.md:252; docs/ch13.md:289; docs/ch13.md:306; docs/ch13.md:352; docs/ch13.md:372; docs/ch13.md:374; docs/ch13.md:396; docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:435; docs/ch13.md:441; docs/ch13.md:521; docs/ch13.md:523; docs/ch14.md:40; docs/ch14.md:59; docs/ch15.md:22; docs/ch15.md:27; docs/ch15.md:31; docs/ch15.md:33; docs/ch16.md:3; docs/ch16.md:9; docs/ch16.md:11; docs/ch16.md:27; docs/ch16.md:54; docs/ch17.md:3; docs/ch17.md:15; docs/ch17.md:17; docs/ch19.md:9; docs/ch19.md:11; docs/ch19.md:13; docs/ch19.md:15; docs/ch19.md:17; docs/ch19.md:19; docs/ch19.md:21; docs/ch19.md:29; docs/ch19.md:67; docs/ch20.md:3; docs/ch20.md:7; docs/ch20.md:22; docs/ch20.md:36; docs/ch20.md:40; docs/ch20.md:42; docs/ch20.md:48; docs/ch20.md:60; docs/ch21.md:5; docs/ch21.md:9; docs/ch22.md:3; docs/ch22.md:5; docs/summary.md:12; docs/summary.md:28; docs/summary.md:35; docs/summary.md:37
