file	section	en_blocks	zh_blocks	status	en_locations	zh_locations
ch03.md	3.1	6	6	same_count_not_yet_verified	epub/ch03.md:16; epub/ch03.md:19; epub/ch03.md:22; epub/ch03.md:25; epub/ch03.md:28; epub/ch03.md:31	docs/ch03.md:8; docs/ch03.md:10; docs/ch03.md:12; docs/ch03.md:14; docs/ch03.md:16; docs/ch03.md:18
ch03.md	3.2	4	4	same_count_not_yet_verified	epub/ch03.md:37; epub/ch03.md:40; epub/ch03.md:43; epub/ch03.md:46	docs/ch03.md:22; docs/ch03.md:24; docs/ch03.md:26; docs/ch03.md:28
ch03.md	3.3	5	5	same_count_not_yet_verified	epub/ch03.md:52; epub/ch03.md:55; epub/ch03.md:58; epub/ch03.md:61; epub/ch03.md:64	docs/ch03.md:32; docs/ch03.md:36; docs/ch03.md:38; docs/ch03.md:40; docs/ch03.md:42
ch03.md	3.4	8	8	same_count_not_yet_verified	epub/ch03.md:70; epub/ch03.md:73; epub/ch03.md:76; epub/ch03.md:79; epub/ch03.md:82; epub/ch03.md:85; epub/ch03.md:88; epub/ch03.md:91	docs/ch03.md:46; docs/ch03.md:48; docs/ch03.md:50; docs/ch03.md:52; docs/ch03.md:54; docs/ch03.md:56; docs/ch03.md:58; docs/ch03.md:60
ch03.md	3.5	2	2	same_count_not_yet_verified	epub/ch03.md:97; epub/ch03.md:100	docs/ch03.md:64; docs/ch03.md:66
ch04.md	intro	1	1	same_count_not_yet_verified	epub/ch04.md:7	docs/ch04.md:3
ch04.md	4.1	6	6	same_count_not_yet_verified	epub/ch04.md:13; epub/ch04.md:16; epub/ch04.md:19; epub/ch04.md:22; epub/ch04.md:25; epub/ch04.md:28	docs/ch04.md:7; docs/ch04.md:9; docs/ch04.md:11; docs/ch04.md:13; docs/ch04.md:15; docs/ch04.md:17
ch04.md	4.2	3	3	same_count_not_yet_verified	epub/ch04.md:34; epub/ch04.md:37; epub/ch04.md:40	docs/ch04.md:21; docs/ch04.md:23; docs/ch04.md:25
ch04.md	4.3	6	5	alignment_required	epub/ch04.md:46; epub/ch04.md:49; epub/ch04.md:52; epub/ch04.md:55; epub/ch04.md:58; epub/ch04.md:61	docs/ch04.md:29; docs/ch04.md:31; docs/ch04.md:33; docs/ch04.md:35; docs/ch04.md:37
ch04.md	4.4	15	16	alignment_required	epub/ch04.md:67; epub/ch04.md:70; epub/ch04.md:73; epub/ch04.md:91; epub/ch04.md:94; epub/ch04.md:97; epub/ch04.md:100; epub/ch04.md:103; epub/ch04.md:106; epub/ch04.md:109; epub/ch04.md:112; epub/ch04.md:115; epub/ch04.md:118; epub/ch04.md:121; epub/ch04.md:124	docs/ch04.md:41; docs/ch04.md:45; docs/ch04.md:47; docs/ch04.md:49; docs/ch04.md:59; docs/ch04.md:61; docs/ch04.md:63; docs/ch04.md:64; docs/ch04.md:65; docs/ch04.md:66; docs/ch04.md:67; docs/ch04.md:68; docs/ch04.md:69; docs/ch04.md:71; docs/ch04.md:73; docs/ch04.md:75
ch04.md	4.5	4	5	alignment_required	epub/ch04.md:130; epub/ch04.md:133; epub/ch04.md:145; epub/ch04.md:151	docs/ch04.md:79; docs/ch04.md:81; docs/ch04.md:89; docs/ch04.md:91; docs/ch04.md:93
ch04.md	4.6	2	2	same_count_not_yet_verified	epub/ch04.md:157; epub/ch04.md:160	docs/ch04.md:97; docs/ch04.md:99
ch04.md	4.7	4	4	same_count_not_yet_verified	epub/ch04.md:166; epub/ch04.md:187; epub/ch04.md:190; epub/ch04.md:193	docs/ch04.md:103; docs/ch04.md:113; docs/ch04.md:115; docs/ch04.md:117
ch04.md	4.8	2	2	same_count_not_yet_verified	epub/ch04.md:199; epub/ch04.md:202	docs/ch04.md:121; docs/ch04.md:123
ch05.md	intro	1	1	same_count_not_yet_verified	epub/ch05.md:7	docs/ch05.md:3
ch05.md	5.1	12	12	same_count_not_yet_verified	epub/ch05.md:13; epub/ch05.md:16; epub/ch05.md:19; epub/ch05.md:22; epub/ch05.md:25; epub/ch05.md:28; epub/ch05.md:31; epub/ch05.md:34; epub/ch05.md:37; epub/ch05.md:40; epub/ch05.md:43; epub/ch05.md:46	docs/ch05.md:7; docs/ch05.md:9; docs/ch05.md:11; docs/ch05.md:12; docs/ch05.md:13; docs/ch05.md:14; docs/ch05.md:15; docs/ch05.md:17; docs/ch05.md:19; docs/ch05.md:21; docs/ch05.md:23; docs/ch05.md:25
ch05.md	5.2	2	4	alignment_required	epub/ch05.md:52; epub/ch05.md:55	docs/ch05.md:29; docs/ch05.md:31; docs/ch05.md:33; docs/ch05.md:35
ch05.md	5.3	3	4	alignment_required	epub/ch05.md:61; epub/ch05.md:67; epub/ch05.md:70	docs/ch05.md:39; docs/ch05.md:41; docs/ch05.md:43; docs/ch05.md:45
ch05.md	5.4	4	3	alignment_required	epub/ch05.md:76; epub/ch05.md:79; epub/ch05.md:85; epub/ch05.md:88	docs/ch05.md:49; docs/ch05.md:51; docs/ch05.md:55
ch05.md	5.5	4	4	same_count_not_yet_verified	epub/ch05.md:94; epub/ch05.md:97; epub/ch05.md:100; epub/ch05.md:103	docs/ch05.md:59; docs/ch05.md:61; docs/ch05.md:63; docs/ch05.md:65
ch05.md	5.6	6	6	same_count_not_yet_verified	epub/ch05.md:109; epub/ch05.md:112; epub/ch05.md:115; epub/ch05.md:127; epub/ch05.md:130; epub/ch05.md:139	docs/ch05.md:69; docs/ch05.md:71; docs/ch05.md:73; docs/ch05.md:81; docs/ch05.md:83; docs/ch05.md:91
ch05.md	5.7	4	5	alignment_required	epub/ch05.md:145; epub/ch05.md:148; epub/ch05.md:151; epub/ch05.md:157	docs/ch05.md:95; docs/ch05.md:97; docs/ch05.md:99; docs/ch05.md:101; docs/ch05.md:103
ch05.md	5.8	1	1	same_count_not_yet_verified	epub/ch05.md:163	docs/ch05.md:107
ch05.md	5.9	1	1	same_count_not_yet_verified	epub/ch05.md:169	docs/ch05.md:111
ch05.md	5.10	3	4	alignment_required	epub/ch05.md:175; epub/ch05.md:178; epub/ch05.md:181	docs/ch05.md:115; docs/ch05.md:117; docs/ch05.md:119; docs/ch05.md:121
ch06.md	intro	3	3	same_count_not_yet_verified	epub/ch06.md:7; epub/ch06.md:10; epub/ch06.md:13	docs/ch06.md:3; docs/ch06.md:5; docs/ch06.md:7
ch06.md	6.1	4	4	same_count_not_yet_verified	epub/ch06.md:19; epub/ch06.md:22; epub/ch06.md:25; epub/ch06.md:28	docs/ch06.md:11; docs/ch06.md:13; docs/ch06.md:15; docs/ch06.md:17
ch06.md	6.2	6	6	same_count_not_yet_verified	epub/ch06.md:34; epub/ch06.md:37; epub/ch06.md:40; epub/ch06.md:49; epub/ch06.md:55; epub/ch06.md:58	docs/ch06.md:21; docs/ch06.md:23; docs/ch06.md:25; docs/ch06.md:33; docs/ch06.md:39; docs/ch06.md:41
ch06.md	6.3	7	7	same_count_not_yet_verified	epub/ch06.md:64; epub/ch06.md:73; epub/ch06.md:79; epub/ch06.md:85; epub/ch06.md:91; epub/ch06.md:94; epub/ch06.md:100	docs/ch06.md:45; docs/ch06.md:53; docs/ch06.md:59; docs/ch06.md:65; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:79
ch06.md	6.4	2	2	same_count_not_yet_verified	epub/ch06.md:106; epub/ch06.md:109	docs/ch06.md:83; docs/ch06.md:85
ch06.md	6.5	4	4	same_count_not_yet_verified	epub/ch06.md:115; epub/ch06.md:118; epub/ch06.md:121; epub/ch06.md:124	docs/ch06.md:89; docs/ch06.md:91; docs/ch06.md:93; docs/ch06.md:95
ch06.md	6.6	3	3	same_count_not_yet_verified	epub/ch06.md:130; epub/ch06.md:133; epub/ch06.md:136	docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103
ch06.md	6.7	14	14	same_count_not_yet_verified	epub/ch06.md:142; epub/ch06.md:145; epub/ch06.md:148; epub/ch06.md:151; epub/ch06.md:187; epub/ch06.md:190; epub/ch06.md:193; epub/ch06.md:196; epub/ch06.md:199; epub/ch06.md:202; epub/ch06.md:205; epub/ch06.md:208; epub/ch06.md:211; epub/ch06.md:214	docs/ch06.md:107; docs/ch06.md:109; docs/ch06.md:111; docs/ch06.md:113; docs/ch06.md:131; docs/ch06.md:133; docs/ch06.md:135; docs/ch06.md:137; docs/ch06.md:139; docs/ch06.md:140; docs/ch06.md:141; docs/ch06.md:143; docs/ch06.md:145; docs/ch06.md:147
ch06.md	6.8	4	4	same_count_not_yet_verified	epub/ch06.md:220; epub/ch06.md:223; epub/ch06.md:226; epub/ch06.md:229	docs/ch06.md:151; docs/ch06.md:153; docs/ch06.md:155; docs/ch06.md:157
ch06.md	6.9	1	1	same_count_not_yet_verified	epub/ch06.md:235	docs/ch06.md:161
ch07.md	intro	4	4	same_count_not_yet_verified	epub/ch07.md:7; epub/ch07.md:10; epub/ch07.md:13; epub/ch07.md:16	docs/ch07.md:3; docs/ch07.md:5; docs/ch07.md:6; docs/ch07.md:8
ch07.md	7.1	7	9	alignment_required	epub/ch07.md:22; epub/ch07.md:94; epub/ch07.md:97; epub/ch07.md:100; epub/ch07.md:103; epub/ch07.md:106; epub/ch07.md:109	docs/ch07.md:12; docs/ch07.md:38; docs/ch07.md:40; docs/ch07.md:42; docs/ch07.md:44; docs/ch07.md:46; docs/ch07.md:48; docs/ch07.md:52; docs/ch07.md:54
ch07.md	7.2	5	4	alignment_required	epub/ch07.md:115; epub/ch07.md:118; epub/ch07.md:121; epub/ch07.md:124; epub/ch07.md:127	docs/ch07.md:58; docs/ch07.md:60; docs/ch07.md:62; docs/ch07.md:64
ch07.md	7.3	8	8	same_count_not_yet_verified	epub/ch07.md:133; epub/ch07.md:136; epub/ch07.md:139; epub/ch07.md:142; epub/ch07.md:145; epub/ch07.md:148; epub/ch07.md:151; epub/ch07.md:154	docs/ch07.md:68; docs/ch07.md:70; docs/ch07.md:72; docs/ch07.md:74; docs/ch07.md:75; docs/ch07.md:76; docs/ch07.md:77; docs/ch07.md:79
ch07.md	7.4	2	2	same_count_not_yet_verified	epub/ch07.md:160; epub/ch07.md:163	docs/ch07.md:83; docs/ch07.md:85
ch07.md	7.5	9	9	same_count_not_yet_verified	epub/ch07.md:169; epub/ch07.md:172; epub/ch07.md:175; epub/ch07.md:178; epub/ch07.md:181; epub/ch07.md:184; epub/ch07.md:187; epub/ch07.md:190; epub/ch07.md:193	docs/ch07.md:89; docs/ch07.md:91; docs/ch07.md:93; docs/ch07.md:95; docs/ch07.md:97; docs/ch07.md:101; docs/ch07.md:103; docs/ch07.md:105; docs/ch07.md:107
ch07.md	7.6	2	2	same_count_not_yet_verified	epub/ch07.md:199; epub/ch07.md:202	docs/ch07.md:111; docs/ch07.md:113
ch08.md	intro	3	3	same_count_not_yet_verified	epub/ch08.md:7; epub/ch08.md:10; epub/ch08.md:13	docs/ch08.md:3; docs/ch08.md:5; docs/ch08.md:7
ch08.md	8.1	2	2	same_count_not_yet_verified	epub/ch08.md:19; epub/ch08.md:22	docs/ch08.md:11; docs/ch08.md:13
ch08.md	8.2	4	4	same_count_not_yet_verified	epub/ch08.md:28; epub/ch08.md:31; epub/ch08.md:34; epub/ch08.md:37	docs/ch08.md:17; docs/ch08.md:19; docs/ch08.md:21; docs/ch08.md:23
ch08.md	8.3	2	2	same_count_not_yet_verified	epub/ch08.md:43; epub/ch08.md:46	docs/ch08.md:27; docs/ch08.md:29
ch08.md	8.4	1	1	same_count_not_yet_verified	epub/ch08.md:52	docs/ch08.md:33
ch09.md	intro	12	12	same_count_not_yet_verified	epub/ch09.md:7; epub/ch09.md:10; epub/ch09.md:13; epub/ch09.md:16; epub/ch09.md:19; epub/ch09.md:22; epub/ch09.md:25; epub/ch09.md:28; epub/ch09.md:31; epub/ch09.md:34; epub/ch09.md:37; epub/ch09.md:40	docs/ch09.md:3; docs/ch09.md:5; docs/ch09.md:7; docs/ch09.md:8; docs/ch09.md:9; docs/ch09.md:10; docs/ch09.md:12; docs/ch09.md:14; docs/ch09.md:15; docs/ch09.md:16; docs/ch09.md:17; docs/ch09.md:19
ch09.md	9.1	1	1	same_count_not_yet_verified	epub/ch09.md:46	docs/ch09.md:23
ch09.md	9.2	2	2	same_count_not_yet_verified	epub/ch09.md:52; epub/ch09.md:55	docs/ch09.md:27; docs/ch09.md:29
ch09.md	9.3	2	4	alignment_required	epub/ch09.md:61; epub/ch09.md:64	docs/ch09.md:33; docs/ch09.md:35; docs/ch09.md:72; docs/ch09.md:101
ch09.md	9.4	4	3	alignment_required	epub/ch09.md:70; epub/ch09.md:76; epub/ch09.md:79; epub/ch09.md:82	docs/ch09.md:105; docs/ch09.md:107; docs/ch09.md:109
ch09.md	9.5	6	7	alignment_required	epub/ch09.md:88; epub/ch09.md:91; epub/ch09.md:94; epub/ch09.md:97; epub/ch09.md:100; epub/ch09.md:106	docs/ch09.md:113; docs/ch09.md:115; docs/ch09.md:117; docs/ch09.md:119; docs/ch09.md:121; docs/ch09.md:123; docs/ch09.md:125
ch09.md	9.6	5	5	same_count_not_yet_verified	epub/ch09.md:112; epub/ch09.md:133; epub/ch09.md:199; epub/ch09.md:202; epub/ch09.md:205	docs/ch09.md:129; docs/ch09.md:140; docs/ch09.md:163; docs/ch09.md:165; docs/ch09.md:167
ch09.md	9.7	10	11	alignment_required	epub/ch09.md:211; epub/ch09.md:214; epub/ch09.md:217; epub/ch09.md:220; epub/ch09.md:223; epub/ch09.md:226; epub/ch09.md:229; epub/ch09.md:232; epub/ch09.md:235; epub/ch09.md:241	docs/ch09.md:171; docs/ch09.md:173; docs/ch09.md:175; docs/ch09.md:177; docs/ch09.md:179; docs/ch09.md:183; docs/ch09.md:185; docs/ch09.md:187; docs/ch09.md:189; docs/ch09.md:191; docs/ch09.md:193
ch09.md	9.8	3	3	same_count_not_yet_verified	epub/ch09.md:247; epub/ch09.md:250; epub/ch09.md:253	docs/ch09.md:197; docs/ch09.md:199; docs/ch09.md:201
ch09.md	9.9	2	2	same_count_not_yet_verified	epub/ch09.md:259; epub/ch09.md:262	docs/ch09.md:205; docs/ch09.md:207
ch10.md	intro	1	1	same_count_not_yet_verified	epub/ch10.md:7	docs/ch10.md:3
ch10.md	10.1	13	12	alignment_required	epub/ch10.md:13; epub/ch10.md:16; epub/ch10.md:19; epub/ch10.md:22; epub/ch10.md:25; epub/ch10.md:28; epub/ch10.md:31; epub/ch10.md:34; epub/ch10.md:37; epub/ch10.md:40; epub/ch10.md:127; epub/ch10.md:130; epub/ch10.md:133	docs/ch10.md:7; docs/ch10.md:9; docs/ch10.md:11; docs/ch10.md:12; docs/ch10.md:13; docs/ch10.md:14; docs/ch10.md:16; docs/ch10.md:18; docs/ch10.md:20; docs/ch10.md:22; docs/ch10.md:52; docs/ch10.md:54
ch10.md	10.2	5	5	same_count_not_yet_verified	epub/ch10.md:139; epub/ch10.md:142; epub/ch10.md:145; epub/ch10.md:148; epub/ch10.md:151	docs/ch10.md:58; docs/ch10.md:60; docs/ch10.md:62; docs/ch10.md:64; docs/ch10.md:66
ch10.md	10.3	1	1	same_count_not_yet_verified	epub/ch10.md:157	docs/ch10.md:70
ch10.md	10.4	4	4	same_count_not_yet_verified	epub/ch10.md:163; epub/ch10.md:166; epub/ch10.md:169; epub/ch10.md:172	docs/ch10.md:74; docs/ch10.md:76; docs/ch10.md:78; docs/ch10.md:80
ch10.md	10.5	4	4	same_count_not_yet_verified	epub/ch10.md:178; epub/ch10.md:181; epub/ch10.md:184; epub/ch10.md:187	docs/ch10.md:84; docs/ch10.md:86; docs/ch10.md:88; docs/ch10.md:90
ch10.md	10.6	5	5	same_count_not_yet_verified	epub/ch10.md:193; epub/ch10.md:196; epub/ch10.md:199; epub/ch10.md:202; epub/ch10.md:205	docs/ch10.md:94; docs/ch10.md:96; docs/ch10.md:98; docs/ch10.md:100; docs/ch10.md:102
ch10.md	10.7	14	14	same_count_not_yet_verified	epub/ch10.md:211; epub/ch10.md:214; epub/ch10.md:217; epub/ch10.md:220; epub/ch10.md:223; epub/ch10.md:226; epub/ch10.md:229; epub/ch10.md:232; epub/ch10.md:235; epub/ch10.md:238; epub/ch10.md:241; epub/ch10.md:244; epub/ch10.md:247; epub/ch10.md:250	docs/ch10.md:106; docs/ch10.md:108; docs/ch10.md:110; docs/ch10.md:114; docs/ch10.md:116; docs/ch10.md:120; docs/ch10.md:122; docs/ch10.md:124; docs/ch10.md:126; docs/ch10.md:128; docs/ch10.md:130; docs/ch10.md:132; docs/ch10.md:134; docs/ch10.md:136
ch10.md	10.8	7	7	same_count_not_yet_verified	epub/ch10.md:256; epub/ch10.md:259; epub/ch10.md:262; epub/ch10.md:265; epub/ch10.md:268; epub/ch10.md:271; epub/ch10.md:274	docs/ch10.md:140; docs/ch10.md:142; docs/ch10.md:144; docs/ch10.md:146; docs/ch10.md:148; docs/ch10.md:150; docs/ch10.md:152
ch10.md	10.9	3	3	same_count_not_yet_verified	epub/ch10.md:280; epub/ch10.md:283; epub/ch10.md:286	docs/ch10.md:156; docs/ch10.md:158; docs/ch10.md:160
ch10.md	10.10	2	2	same_count_not_yet_verified	epub/ch10.md:292; epub/ch10.md:295	docs/ch10.md:164; docs/ch10.md:166
ch11.md	intro	14	14	same_count_not_yet_verified	epub/ch11.md:7; epub/ch11.md:10; epub/ch11.md:13; epub/ch11.md:16; epub/ch11.md:19; epub/ch11.md:22; epub/ch11.md:25; epub/ch11.md:28; epub/ch11.md:31; epub/ch11.md:34; epub/ch11.md:37; epub/ch11.md:40; epub/ch11.md:43; epub/ch11.md:46	docs/ch11.md:3; docs/ch11.md:5; docs/ch11.md:7; docs/ch11.md:9; docs/ch11.md:11; docs/ch11.md:12; docs/ch11.md:13; docs/ch11.md:15; docs/ch11.md:17; docs/ch11.md:19; docs/ch11.md:21; docs/ch11.md:23; docs/ch11.md:25; docs/ch11.md:27
ch12.md	intro	9	9	same_count_not_yet_verified	epub/ch12.md:7; epub/ch12.md:10; epub/ch12.md:13; epub/ch12.md:16; epub/ch12.md:19; epub/ch12.md:22; epub/ch12.md:25; epub/ch12.md:28; epub/ch12.md:31	docs/ch12.md:3; docs/ch12.md:5; docs/ch12.md:7; docs/ch12.md:9; docs/ch12.md:11; docs/ch12.md:12; docs/ch12.md:13; docs/ch12.md:14; docs/ch12.md:16
ch12.md	12.1	3	3	same_count_not_yet_verified	epub/ch12.md:37; epub/ch12.md:40; epub/ch12.md:43	docs/ch12.md:20; docs/ch12.md:22; docs/ch12.md:24
ch12.md	12.2	3	3	same_count_not_yet_verified	epub/ch12.md:49; epub/ch12.md:52; epub/ch12.md:55	docs/ch12.md:28; docs/ch12.md:30; docs/ch12.md:32
ch12.md	12.3	1	1	same_count_not_yet_verified	epub/ch12.md:61	docs/ch12.md:36
ch12.md	12.4	1	1	same_count_not_yet_verified	epub/ch12.md:67	docs/ch12.md:40
ch12.md	12.5	8	8	same_count_not_yet_verified	epub/ch12.md:73; epub/ch12.md:76; epub/ch12.md:79; epub/ch12.md:82; epub/ch12.md:85; epub/ch12.md:88; epub/ch12.md:91; epub/ch12.md:94	docs/ch12.md:44; docs/ch12.md:46; docs/ch12.md:48; docs/ch12.md:49; docs/ch12.md:50; docs/ch12.md:52; docs/ch12.md:54; docs/ch12.md:56
ch12.md	12.6	7	7	same_count_not_yet_verified	epub/ch12.md:100; epub/ch12.md:103; epub/ch12.md:106; epub/ch12.md:109; epub/ch12.md:112; epub/ch12.md:115; epub/ch12.md:118	docs/ch12.md:60; docs/ch12.md:62; docs/ch12.md:64; docs/ch12.md:66; docs/ch12.md:68; docs/ch12.md:70; docs/ch12.md:72
ch13.md	intro	3	4	alignment_required	epub/ch13.md:7; epub/ch13.md:10; epub/ch13.md:13	docs/ch13.md:3; docs/ch13.md:5; docs/ch13.md:7; docs/ch13.md:9
ch13.md	13.1	8	8	same_count_not_yet_verified	epub/ch13.md:19; epub/ch13.md:22; epub/ch13.md:25; epub/ch13.md:28; epub/ch13.md:31; epub/ch13.md:34; epub/ch13.md:37; epub/ch13.md:40	docs/ch13.md:13; docs/ch13.md:15; docs/ch13.md:17; docs/ch13.md:19; docs/ch13.md:21; docs/ch13.md:23; docs/ch13.md:25; docs/ch13.md:27
ch13.md	13.2	11	12	alignment_required	epub/ch13.md:46; epub/ch13.md:49; epub/ch13.md:52; epub/ch13.md:85; epub/ch13.md:88; epub/ch13.md:91; epub/ch13.md:139; epub/ch13.md:142; epub/ch13.md:145; epub/ch13.md:148; epub/ch13.md:166	docs/ch13.md:31; docs/ch13.md:44; docs/ch13.md:46; docs/ch13.md:63; docs/ch13.md:65; docs/ch13.md:67; docs/ch13.md:84; docs/ch13.md:86; docs/ch13.md:88; docs/ch13.md:90; docs/ch13.md:92; docs/ch13.md:102
ch13.md	13.3	14	14	same_count_not_yet_verified	epub/ch13.md:172; epub/ch13.md:175; epub/ch13.md:178; epub/ch13.md:181; epub/ch13.md:184; epub/ch13.md:187; epub/ch13.md:190; epub/ch13.md:193; epub/ch13.md:196; epub/ch13.md:214; epub/ch13.md:244; epub/ch13.md:247; epub/ch13.md:268; epub/ch13.md:283	docs/ch13.md:106; docs/ch13.md:108; docs/ch13.md:110; docs/ch13.md:111; docs/ch13.md:112; docs/ch13.md:113; docs/ch13.md:114; docs/ch13.md:116; docs/ch13.md:118; docs/ch13.md:129; docs/ch13.md:144; docs/ch13.md:146; docs/ch13.md:158; docs/ch13.md:168
ch13.md	13.4	8	8	same_count_not_yet_verified	epub/ch13.md:289; epub/ch13.md:334; epub/ch13.md:337; epub/ch13.md:346; epub/ch13.md:349; epub/ch13.md:352; epub/ch13.md:355; epub/ch13.md:415	docs/ch13.md:172; docs/ch13.md:191; docs/ch13.md:193; docs/ch13.md:200; docs/ch13.md:202; docs/ch13.md:204; docs/ch13.md:206; docs/ch13.md:230
ch13.md	13.5	31	32	alignment_required	epub/ch13.md:421; epub/ch13.md:424; epub/ch13.md:427; epub/ch13.md:457; epub/ch13.md:460; epub/ch13.md:463; epub/ch13.md:466; epub/ch13.md:469; epub/ch13.md:472; epub/ch13.md:475; epub/ch13.md:478; epub/ch13.md:544; epub/ch13.md:547; epub/ch13.md:550; epub/ch13.md:577; epub/ch13.md:580; epub/ch13.md:583; epub/ch13.md:586; epub/ch13.md:589; epub/ch13.md:592; epub/ch13.md:595; epub/ch13.md:598; epub/ch13.md:688; epub/ch13.md:691; epub/ch13.md:694; epub/ch13.md:697; epub/ch13.md:730; epub/ch13.md:736; epub/ch13.md:739; epub/ch13.md:787; epub/ch13.md:826	docs/ch13.md:234; docs/ch13.md:236; docs/ch13.md:238; docs/ch13.md:252; docs/ch13.md:254; docs/ch13.md:256; docs/ch13.md:257; docs/ch13.md:258; docs/ch13.md:259; docs/ch13.md:260; docs/ch13.md:262; docs/ch13.md:289; docs/ch13.md:291; docs/ch13.md:293; docs/ch13.md:306; docs/ch13.md:308; docs/ch13.md:310; docs/ch13.md:311; docs/ch13.md:312; docs/ch13.md:313; docs/ch13.md:314; docs/ch13.md:316; docs/ch13.md:350; docs/ch13.md:352; docs/ch13.md:353; docs/ch13.md:355; docs/ch13.md:370; docs/ch13.md:372; docs/ch13.md:374; docs/ch13.md:376; docs/ch13.md:396; docs/ch13.md:413
ch13.md	13.6	6	6	same_count_not_yet_verified	epub/ch13.md:832; epub/ch13.md:835; epub/ch13.md:841; epub/ch13.md:853; epub/ch13.md:856; epub/ch13.md:859	docs/ch13.md:417; docs/ch13.md:419; docs/ch13.md:425; docs/ch13.md:433; docs/ch13.md:435; docs/ch13.md:437
ch13.md	13.7	7	7	same_count_not_yet_verified	epub/ch13.md:865; epub/ch13.md:868; epub/ch13.md:955; epub/ch13.md:958; epub/ch13.md:961; epub/ch13.md:988; epub/ch13.md:994	docs/ch13.md:441; docs/ch13.md:443; docs/ch13.md:476; docs/ch13.md:478; docs/ch13.md:480; docs/ch13.md:503; docs/ch13.md:509
ch13.md	13.8	2	2	same_count_not_yet_verified	epub/ch13.md:1000; epub/ch13.md:1003	docs/ch13.md:513; docs/ch13.md:515
ch13.md	13.9	6	6	same_count_not_yet_verified	epub/ch13.md:1009; epub/ch13.md:1012; epub/ch13.md:1015; epub/ch13.md:1018; epub/ch13.md:1021; epub/ch13.md:1024	docs/ch13.md:519; docs/ch13.md:521; docs/ch13.md:522; docs/ch13.md:523; docs/ch13.md:524; docs/ch13.md:525
ch14.md	intro	1	1	same_count_not_yet_verified	epub/ch14.md:7	docs/ch14.md:3
